territory, volleyball, partner, sidewalk, trucks, trip, band, digestion, bubble, nest, note, touch, sun, birthday, wealth, hospital, drum
0, 6, bikes, 50.453125, z, 1, 1.000000, 1, 0, 1, 1, 5, 18, 0, ffffffffffffffff, 0, 1.000000
1, 13178770, fact, 0.001953, }, 15, -0.760742, 1, 0, 0, 1, 6272, -3, 7, 1, 0, 1.000000
1, 6, bikes, 50.453125, z, 102, 761451.250000, 1, 0, 1, 0, 5, 1, 0, 1c, 0, 1.000000
1, -38, wren, 0.000000, Q, 104, -0.000977, 0, 0, 1, 1, 745, 2, -2020, 307, 1, -0.000092
1, -3, food, 0.132812, d, 68, -2270.800781, 1, 1, 1, 0, 2948, 7, -6240, 179f4, 1, 109.300140
1, 49913185, hen, -58.039062, 2, 4, -20.480469, 1, 0, 0, 1, 1, -1, 1, ffffffffffffffff, 0, -0.397247
0, -121795475, scene, -0.333984, ?, 56, 6293.919922, 1, 0, 0, 1, 447, 5, -4, 12e2b4bdb7fdb, 1, 0.000000
0, 0, engine, 0.236328, G, 27, 347492.875000, 1, 0, 0, 1, 56, 0, 1946023763, fffffffffffffc1a, 1, 0.000275
0, 2823362, brush, -0.001953, _, 11, 0.000977, 1, 1, 1, 1, 294, -20, 1495651, ffffffffffffa346, 0, 8117.936523
0, 1, reason, 0.142578, j, 0, -224467.875000, 1, 0, 1, 1, 54535, -11, 24453706, ffff2743383e8697, 0, -1.515930
0, -56540, engine, 1.000000, G, 27, 412231.031250, 1, 0, 0, 1, 20, 0, -11, 31dda, 1, 0.000275
1, 430596, hen, -58.039062, 2, 4, -20.480469, 1, 1, 0, 0, 24, -1, -1858, 2e8e36d208eaef, 1, -0.397247
0, 2823362, brush, -0.001953, _, 10, 0.744141, 1, 0, 1, 0, 294, -1, 1495651, 90244e79de78663b, 0, 8117.936523
0, -72586781, coat, 0.095703, +, 25, 198.219727, 0, 1, 0, 0, 0, 1, -9498, fff4cac4a10a7577, 0, -41.464294
0, -195941, cows, 41.835938, Y, 10, 0.083008, 1, 1, 1, 0, 28, -10, 5434133, 5d, 1, 24953.253906
1, -467084912, value, -351.099609, 2, 0, 0.000000, 1, 1, 1, 0, 7113, -16, -4, fffffffffffd0b7f, 0, -0.006683
0, 1, reason, 0.142578, j, 0, -0.000977, 0, 0, 1, 0, 0, 17, 379, 2, 0, -1.515930
1, -2071711364, value, -0.066406, 2, 0, 0.000000, 1, 1, 1, 0, 7113, -16, 1, fffffffffffd0b7f, 1, -0.006683
0, -47, view, 1.000000, J, 40, -8099.157227, 0, 1, 1, 0, 146, 125, 5, ffff76a4155896f2, 0, 0.000000
